text	Joy	Fear	Anger	Sadness	Surprise
та не те слово, падгулявші навіть)	1	0	0	0	0
 а мені пів життя везе жити з "Шелдонами" ...)))Привіт!	1	0	0	0	0
жаль-жаль і тато був би радий :)	1	0	0	0	0
Вчора проходили повз магазин пандори і там був аншлаг)	1	0	0	0	0
Нарешті я можу не боятись, шо мій айфон замерзне і розрядиться.	1	0	0	0	0
Напилась чаю з медом і лимонами і нарешті вляглась.	1	0	0	0	0
"Мрії повинні здійснюватись" Дякую,  , за здійснення моєї	1	0	0	0	0
Ух.Мені поміняли Windows)Жесть,Я так перелякалася коли мені вибило "З вас штраф 50 грн. за посещения сайтов педофилии")А мама у якому шоці))	1	1	0	0	0
одна дівчина носила перуку) бо вона акторка.	1	0	0	0	0
Дуже зож)) не була там ще, але чула	1	0	0	0	0
обов'язково! у вас завжди цікаві конкурси!=)	1	0	0	0	0
Читаю,що має збутися і посміхаюсь:)дякую:)	1	0	0	0	0
А Роща у таку пору доби - просто неймовірна	1	0	0	0	0
Бери від життя все і з посмішкою!	1	0	0	0	0
Незабаром знайшли будиночок покинутий. там були шикарнєйші умови і камін.	1	0	0	0	0
Ті відчуття, коли подих морозного повітря запиваєш ковтком лате.	1	0	0	0	0
в цій мелодії зараз я вся!! і це не сумно...Keiko Matsui - The Road...:  via	1	0	0	0	0
Все таки манікюришмоткикорекціябрів підночить настрій	1	0	0	0	0
Читаю ФБ стрічку і сміюся.	1	0	0	0	0
знаєте, минулого року йшла по Львову, а  всі були парами- парами... було і кумедно і обідно... отаке)	1	0	0	1	0
Приєднуюсь до чудових побажань.пора в ліжечкоRT Добраніч, янголята;-) посміхніться зранку, посиіхніться першій людині, яку зустрінете	1	0	0	0	0
От тільки зрозуміла, що до наших з  відпусток лишилося менше днів ніж до Нового року:)	1	0	0	0	0
дуже всім дякую за картинки!  чорт, вони всі таке неймовірні :з	1	0	0	0	0
ахах, як цікаво ти розповідаєш)	1	0	0	0	0
шо відео, шо аудіо. чудєсні  і всього лиш два альбоми. єсса.	1	0	0	0	0
Ти думала, що це завуальована скарга на пасажирів з дітьми?)) Я навіть не подумала, що хтось може так подумати))	1	0	0	0	0
вимила Патріка. вперше. чув весь будинок. а може навіть сусідні. тепер він зі мною не розмовляє. але від обіду з моїх рук не відмовився)	1	0	0	0	0
як добре, що у мене немає кота	1	0	0	0	0
сміюсь. боюсь ретвітити даби не накликати подібну хвилю фоловлення.	1	0	0	0	0
оввввв :з це так мило)	1	0	0	0	0
мої вітання!! будьте вірними і щасливими))	1	0	0	0	0
а на весь дім грають кохані АЕ <3	1	0	0	0	0
Попереду вихідні, празник, щось смачненьке буде =)	1	0	0	0	0
він дуже легкий у використанні і зручний!	1	0	0	0	0
таки ж м'яка! дякую за поради;)	1	0	0	0	0
Ну і краса ж той парк!	1	0	0	0	0
Це породжує безліч смішних ситуацій гг	1	0	0	0	0
Смачного мені:) і всім дякую за компанію)	1	0	0	0	0
Хух, за весь день нарешті прилетіла хоч одна гарна новина, що підняла настрій.	1	0	0	0	0
Хтось у мене буде ще більшим красунчиком	1	0	0	0	0
Тоже вже хочу спробувати, але домовилаь, що лише з другом спробую, от жду зустрічі)	1	0	0	0	0
Може, мені зараз найпрекрасніше) Просто влітку жити хочеться, а інші пори року мене грузять.	1	0	0	1	0
Велкам ту зе клаб, дивно, але думала тобі 23;)	1	0	0	0	0
То так мило і гарно.	1	0	0	0	0
але Львів - це чудово!	1	0	0	0	0
вони страшненькі і не ок) хоч є і винятки)	1	0	0	0	0
Зате мамам їхнім отлічний подарун:)	1	0	0	0	0
так приємно... не очікувала аж такої реакції))	1	0	0	0	1
Дякую всім за листівкові вітання!;))	1	0	0	0	0
І найголовніше, з Новим роком, пташки!!!	1	0	0	0	0
ахахаха супер, гарна подія в історії, дякую, що не забуваєш мене з нею привітать. ))))))	1	0	0	0	0
Приємно знати, що у цьому світі є люди, які не знають про існування, наприклад, Imagine Dragons	1	0	0	0	0
зі святом) і татові вітання!)	1	0	0	0	0
після коуба мені вже нічого не страшно)))	1	0	0	0	0
аахха, чудово, спасибі) всього хорошого тобі, Олексію,  в прийдешньому році;)	1	0	0	0	0
скучаєте за Львовом? =) гляньте на мiй фон =)	1	0	0	0	0
шось в цьому є) миленько))	1	0	0	0	0
Валя, вітаю з днем народження!	1	0	0	0	0
доброго ранку, тві, гарного вам дня ^^  грійтеся сьогодні і не хворійте.	1	0	0	0	0
Я і  будемо всю ніч до Франківська швидко і весело куриш	1	0	0	0	0
актори такі класні в кліпі!))	1	0	0	0	0
Всім привіт від  Він живе в дуже хорошій сім'ї:)	1	0	0	0	0
я їду на малу Батьківщину, добре що тепло в електричці:)	1	0	0	0	0
Ми ж маємо все, що потрібно для щастя.	1	0	0	0	0
це ж нічо шо я через два дні розцейво?) щастя здоровля нових звершень і успішних творінь, і прочого добра багацько:)	1	0	0	0	0
нарешті зустріла любимку :з   просто чарівні має очі <	1	0	0	0	0
RT : Бідні мої сусіди :)	1	0	0	0	0
дуже багато хорошого алкоголю вчора було))	1	0	0	0	0
він такий милий при знайомстві:)) як ведмедик	1	0	0	0	0
Ще тільки вийшовши з ліфта я зрозуміла, що мій коханих приймав ванну, бо лавандою пахло ))	1	0	0	0	0
така ржака, посони, - є студенти, які мене бояться.	1	0	0	0	0
Пташки щебечуть, що  свято святкує ;)	1	0	0	0	0
Потім ще йшли по дорозі і лякали один одного,в мене чуть серце не стало:))Потім ще на лавочці додивлялися ужастіки)	1	1	0	0	0
о, якраз) я вагалась між нею і вишиванкою)	1	0	0	0	0
Побачила і згадала твіт  про мрію)	1	0	0	0	0
вдалого приземлення в рідних краях!!	1	0	0	0	0
Прийшли поржать і послухать гурт Тірамісу)))) (@ Верховна Рада України w/ ) http://4	1	0	0	0	0
Гуляти стає тепліше, коли у стаканчик aroma kava налити алкоголь	1	0	0	0	0
Ато)) RT :   класно ви скооперувалися)	1	0	0	0	0
досі обожнюю толкові фільми жахів)	1	0	0	0	0
картопля вийшла дуззззе смачна :)) підпечена і з рибкою :)	1	0	0	0	0
Дитя вже тішиться ляльою. . .а від лялі тільки є голова і трохи ручок =)	1	0	0	0	0
 він мені теж подобається. і його "booooring" )	1	0	0	0	0
Кицю,  , з днем народження ^^ Всього найкращого та здійснення мрій тобі ~	1	0	0	0	0
вашими мальбами дєвачки, зрання ше була троха пожмакана, але заречки огірочок (в сенсі свіжусінька, а не зелена))	1	0	0	0	0
І ми тебе вітаємо з минулим святом.	1	0	0	0	0
То був найкращий поцілунок в житті.	1	0	0	0	0
парі... добре що нагадав про це свято!	1	0	0	0	0
Я ще й шкодую, що без зимової підкладки)	1	0	0	1	0
Оооо нормальний списочок під'їхав, гляну	1	0	0	0	0
От і клас  Не стісняйся, звони	1	0	0	0	0
Як то чувак парфумиться, шо я всього лиш до його перчатки торкнулась, а вже пахну мужиком?)	1	0	0	0	0
я жива, нарешті вдома  і я здала перший проект!	1	0	0	0	0
це спасло мій сьогоднішній день:)	1	0	0	0	0
Вона чудова!Любить танцювати понад усе!	1	0	0	0	0
усвідомлюю, що наступні кілька днів пройдуть неповторно.  в чудовому місці з чудовими людьми.	1	0	0	0	0
Я до 3 ночи уснуть не смогла,безсоння,но роботу НЕ проспала:)	1	0	0	0	0
а до мене ці грибочки приїхали в сушеному вигляді...Білочка щаслива.	1	0	0	0	0
Ура!дядько вийшов і я заняла його місце біля вікна:)можна дрімати:)	1	0	0	0	0
чуть з ніг не знесла:)	1	0	0	0	0
Заснула вчора в 7 годині,як добрее...:))Сьогодні екзамен,а мені не страшно:)Дякую тобі,гроза,що загнала мене так рано спатки!:))	1	0	0	0	0
Сьогодні я вперше в житті скуштувала пахлаву)	1	0	0	0	0
Зараз викупила, що святкуватиму день студента з   та Еpolets Я таки йду нарешті на їхній концерт	1	0	0	0	0
RT :  Білочка, виходь за мене, і переставай вже писати по сто твітів в день! :))	1	0	0	0	0
5/10  Непогано  Ще 5 задач і 3 розрахункових і все буде шикарно	1	0	0	0	0
ох це гарна прикмета!Відчуваю Віщий буде мій сон;) ми сьогодні теж випадково натрапили на розпис в палаці-музеї Потоцьких:)	1	0	0	0	0
судячи зі всього – там весело гг	1	0	0	0	0
Бо раніше він істерично сміявсь.	1	0	0	0	0
Розцілувала і заобнімала вчительку англійсьї з грінфореста, бо переплутала її з сестрою, яку не бачила 10 чи більше років :D	1	0	0	0	0
Ааа щойно дізналася, що сестричка в тві)))	1	0	0	0	1
вчорашня фотка млинців в інстагармі зібрала більше лайків ніж хендмейдне гачковане пончо. істинно інстаграм створено для їдла і селфі.	1	0	0	0	0
ну, вже який є) але чорний кручє)	1	0	0	0	0
В малого брекети всього 2місяці, а результат вже ОГО.	1	0	0	0	1
Дякую,любі і милі за вітання,до нестями  приємно :* Андрій,дякую,що ти є,без тебе 00:00 було б не таке)	1	0	0	0	0
Вітаю з днем народження  і .	1	0	0	0	0
Нагадало Новий рік у Празі:)	1	0	0	0	0
це буде найкраще день народження	1	0	0	0	0
мені вже горло і живіт болять від сміху.	1	0	0	0	0
подивилась "Щасливого дня смерті" чудовий фільм.	1	0	0	0	0
мені шалено сподобалися ті моменти, де він показував дійство в дзеркалі кілька разів, бо це така красива задумка, враховуючи, які там ще й гарні дзеркала!	1	0	0	0	0
Вітаю з найсвітлішим днем у році !	1	0	0	0	0
ахахах хароош а я так насміялась вчора, якось розповім;)	1	0	0	0	0
нові гадюкіни прекрасні. пишу то після третього кругу прослуховування і не хочу додому.	1	0	0	0	0
я тож ржала до сліз)	1	0	0	0	0
О ці рідкісні моменти і ці рідкісні люди, похвала яких мені приємна.	1	0	0	0	0
У мене просто орейро)) корсунська влада дуже боїться згадувань про себе в інтернеті)) велика сила влогів))	1	0	0	0	0
я закохалася в цей твіттер	1	0	0	0	0
ліл. їздити з Троєщини на Южную Барщаговку ще прикольніше. принаймні, точно є, що можна з теплом у серці згадати ггг	1	0	0	0	0
читаю тебе в тві і інсті. кайфую від твоїх фото. маєш прекрасне руде волосся. обожнюю, як ти танцюєш.	1	0	0	0	0
Боже, чого я так сміюсь з цих трьох повідомлень з крапочками АААААА	1	0	0	0	0
Нам сподобалось.жили в палатковому містечку.мали переноску.чайник.радіо.казанок.там же були столики з лавками=)	1	0	0	0	0
твіттер подарував мені таких чудових людей, які зараз займають окреме місце в сердечку. і як ж сумно, що деякі так далеко.	1	0	0	1	0
ну це ми так шутім. ніхто вас не зобидить. приходьте - ми раді всім. ми теж поняття не маємо шо там і до чого)	1	0	0	0	0
пів року після DubnoTwеvеnt  і життя змінилося, що я і не думала і не гадала :)	1	0	0	0	0
Сижу в студраді чужого універу і їм пельмені Очєнь добрий день	1	0	0	0	0
госпадєісусє, яка ж вона мила::	1	0	0	0	0
У мене найкращі в світі друзі	1	0	0	0	0
Хеппі бьоооздей ту ю Хеппі бьооооздей ту ю Хеппі бьооздей   Хеппі бьоооздей ту ю	1	0	0	0	0
Вітаю чудову жінку, з шикарним почуттям гумору, з її днем народження!	1	0	0	0	0
ширлі прекрасна, звук лайнявенький, людиськ мало. але ширлі прекрасна.	1	0	0	0	0
хух, ще живі. концерт недавно відіграли  так шо атбой сумувать)	1	0	0	0	0
дякую за віру в мене) так простіше продовжувати.	1	0	0	0	0
І я рада,що все ж зробила це,юхууу!я відчула свободуу.	1	0	0	0	0
згадала шо від завтра мерзенна вісімка в ері. ура.	1	0	0	0	0
о мені він так подобається! дужи харизматичний	1	0	0	0	0
Не стримуюсь і відкриваю прямо на ходу.Дякую всім - дуже гарні побажання!	1	0	0	0	0
ух! мій малюк заснув:)маю вільну годинку)	1	0	0	0	0
Скачала собі дораму і радію життю	1	0	0	0	0
вам смішно, а мені зараз стало настільки легше :)	1	0	0	0	0
вітаю-обнімаю-щастя й радості бажаю) прекрасностей тобі у всьому :)	1	0	0	0	0
Ну можна не прямо додому, але була б рада бачити)))	1	0	0	0	0
Ой який у мене сьогодні день!Майже весь час гуляли по місту,топтали сніг,а він рипів у відповідь.	1	0	0	0	0
От і моя малишка нарешті закінчила медичний    Є люди, для яких твоя підтримка надважлива.	1	0	0	0	0
Вітаю  зі святом Різдва Христового!	1	0	0	0	0
а мене закрили в квартирі....а мені на роботу)	1	0	0	0	0
Знаєш, я рада, що не пішла туди))	1	0	0	0	0
Глянула трансляцію і дуууже жалію, що не поїхала на сам концерт Але від трансляції також вері кайфонула	1	0	0	1	0
RT : буде мені цвірінькати (весна ж бо!)	1	0	0	0	0
буду заходити в гості :))	1	0	0	0	0
хвалю себе рідко но такий добрий супчик зварила грибний шо зараз ложку ззім. а ще ми повернулись з артполя. чудєсні три дні.	1	0	0	0	0
хай сидить і мене не нервує))	1	0	0	0	0
та тільки перший день пошуків, зберігаємо оптимізм :)	1	0	0	0	0
а я тут така і не одна це також радує =)	1	0	0	0	0
але це все одно прекрасний серіал, як би там не було	1	0	0	0	0
					
вони круті - були на день міста Дубна!	1	0	0	0	0
ніби вона) *скоро здибаємси ура	1	0	0	0	0
а я хвилювалася чи встигли ви на потяги, здається так:)	1	0	0	0	0
Усі кудись біжать,нервують,а у мене вихідний.	1	0	0	0	0
38, 3  Гарний початок прекрасного тижня	1	0	0	0	0
нот бед так зігріваючої рідини у вас )	1	0	0	0	0
чому мені це так настрій підняло?)	1	0	0	0	1
Дякую  за те що ви є!	1	0	0	0	0
вау! щиро вітаю і мрію досягти такого ж рівня!	1	0	0	0	0
Тоді я їду до вас! :)	1	0	0	0	0
пообідала і це вже успіх!	1	0	0	0	0
- Ти така мила, коли закохана ©	1	0	0	0	0
На добраніч, милі люди і милі тварі	1	0	0	0	0
А я отак водила на Даху Браху...ніби сподобалося	1	0	0	0	0
хлопці готують вечерю. . .це рай!	1	0	0	0	0
Абична) але на вулицю боїться ще.	1	0	0	0	0
скажуть шо агенти США погрожують))	1	0	0	0	0
Як на мене з рюкзаком теж гарно)	1	0	0	0	0
мімішне фото донечки у вишиваній сукеночці	1	0	0	0	0
мені колишній смайли для асі прислав....зараз розчулюсь...))	1	0	0	0	0
мейбі в грудні, а може і раніш. скучила, обіймашки!)	1	0	0	0	0
я вже давно не мерзну в руки, подивіться на кількість твітів:) навпаки дуже добре окам на холоді :) дякі за турботу:)	1	0	0	0	0
					
обожнюю Набокова і його мову	1	0	0	0	0
о!це моє натхнення...перше що я побачила))	1	0	0	0	0
і мені снився )) шоб він здоровий був!)	1	0	0	0	0
аааа...завтикака)) Дякую за поповнення колекції міст)	1	0	0	0	0
байдуже, пройду флекс, чи ні. я познайомилась з такими класними котиками, що бажаю перемоги справді всім.	1	0	0	0	0
дякую)) було смачно - уха!))	1	0	0	0	0
о, ми і не очікували на такі лестощі)	1	0	0	0	1
Смачного!RT : нажарила тертюхів за рецептом  )) смачного мені:)	1	0	0	0	0
Я в захваті, можна Михайло вестиме живі стрічки новин з усіх культурних івентів	1	0	0	0	0
Це найпрекрасніший букет, який мені дарували.	1	0	0	0	0
 мені аж легше "на душі" стало))	1	0	0	0	0
подобаються мені, і мат хороший)	1	0	0	0	0
я завтра знову в банк ітиму, тому, може повз ваш Дім добра і щастя йтиму, то спустишся)	1	0	0	0	0
аж дивно, але в мене дуже гарний настрій, хоч я і встала рано с:	1	0	0	0	0
я маю всі його картини збережені на ноуті:з обожнюю його, справді, можу говорити про нього годинами)	1	0	0	0	0
з днем народження,кицюню, всього най-найкращого тобі :*	1	0	0	0	0
Оооо, це прям буду мега вдячна!!!	1	0	0	0	0
і в нас сонячно, але тепло по осінньому :)	1	0	0	0	0
я саме хтіла написати, шо ти класний а тоді побачила, шо у тебе я тоже класна, ггг	1	0	0	0	0
Як то з вами файно,а без вас ше краще. . .бо тоді я сплю:)	1	0	0	0	0
і я вітаю їжачка   Найкращостей усяких! =)	1	0	0	0	0
Вона цікава і часом смішна)))	1	0	0	0	0
дуже дякую за фіолетове совеня! його ймення Колос)	1	0	0	0	0
це прекрасно! може колись і я навчуся так малювати)	1	0	0	0	0
гарне свято в Лондоні. . .тато аж спить на кріслі:)	1	0	0	0	0
					
Оумайн, мої перші фанати ))	1	0	0	0	0
Доброї ночі, до речі)) Солодких снів і все таке:3	1	0	0	0	0
просто гарно проводжу час у холодний зимовий день.	1	0	0	0	0
Помаранчева революція   Класно написано!	1	0	0	0	0
скачала всі муз рекомендації. сподобалися. дякую))	1	0	0	0	0
Два вечора малювали і декорували ровер для молодих:) я в ролі арт-директора :)	1	0	0	0	0
Але який він тепер класний дід!	1	0	0	0	0
Мене в інстаграмі зафоловила спина 'a :D	1	0	0	0	0
зато в тебе є син і вже це робить цей світ надзвичайно чудовим!	1	0	0	0	0
розумію, що обожнюю дебати і отримую від цього кайф.	1	0	0	0	0
Хей, , дякую за те, що завжди поруч	1	0	0	0	0
Люди танцюю, лазери світять, феєрверки бахкають!	1	0	0	0	0
все буде класно, я в тебе вірю і тримаю кулачки!	1	0	0	0	0
така гарнюня на фото, віташки.	1	0	0	0	0
Прийшла до учениці і стала свідком перших кроків її братика	1	0	0	0	0
неможу заснути - генератор ідей включився))	1	0	0	0	0
та осьо штани більші куплю і буде ок)) я пока з XS перейшла в  S, то не так страшно))	1	0	0	0	0
Яке щастя, що звідти прибрали постійно орущого папугу	1	0	0	0	0
я свій подарунок на дн ще в серпні отримала))	1	0	0	0	0
О ,  такі сни мені подобаються	1	0	0	0	0
якби лякали труднощі то не вв'язалась би;) вірю в тебе.	1	0	0	0	0
Та го, я тока за \пікап смайл\	1	0	0	0	0
їдеш така униленька в автобусі і раптом бачиш .  і зразу настрій хороший:з	1	0	0	0	0
спасібо, радіма, не жалієш ти мене)	1	0	0	0	0
чуть мене не задушили в обіймах:))	1	0	0	0	0
радію, що займалась йогою, бо тепер можу чухати комарині укуси всюди.	1	0	0	0	0
Я дякую світу за нас і за тебе За це неспокійне та крутезне життя	1	0	0	0	0
А я завтра йду на концерт Фіолет))))))	1	0	0	0	0
					
					
RT : Мені запропонували роботу :)	1	0	0	0	0
а ти мене бачиш? а я закохана:)	1	0	0	0	0
Дивні - А вже Різдво  чудова!!!	1	0	0	0	1
У мене сьогодні справжнє свято!	1	0	0	0	0
Ти не зі Львова? :)	1	0	0	0	0
Шось сьогодні підозріло багато хороших новин^^	1	0	0	0	1
щось таке ніжне переповнює мене:)) заховати б це у скриньку і виймати сумними вечорами...та ба...нема.скриньки нема.	1	0	0	0	0
оллі, з дн! най чарівності в житті не оминають ніколи, обіймаю)	1	0	0	0	0
Безпрецедентну підтримку, такого ніколи не було в українській історії, як є наразі.	1	0	0	0	0
шшєт, мені одній видать сподобалось)	1	0	0	0	0
