text	Joy	Fear	Anger	Sadness	Disgust	Surprise
деб'ют:) завжди мріяла дізнатися,що відчувають актори за кулісами..) ну це шикарно.	1	0	0	0	0	0
Мені дуже пішов, а ніанцинамід взагалі любов	1	0	0	0	0	0
З днем Ангела вас, мої любі!	1	0	0	0	0	0
скажи) я їх взагалі не слухала і на 1й концерт пішла лише через масову істерію і тому, шо там повно друзів було)	1	0	0	0	0	0
Є шаріки  Вітаю зі святом)	1	0	0	0	0	0
оце файне кіно, вони на Арабатці живуть:)	1	0	0	0	0	0
наша церква є в соц.мережах і вчора на івенті всіх вітав от.Роман:)	1	0	0	0	0	0
в ті рідкісні щасливі хвилини коли Хамяк мені дозволяє залізти в твіттер, в мене починається паніка від щастя і я не знаю шо написати	1	0	0	0	0	0
Знайшла заначку - твердий шампунь власного виробництва.	1	0	0	0	0	0
те саме RT : Помітила за собою, що постійно усміхаюся на вулицях.	1	0	0	0	0	0
За 50років дід нарешті купив бабці на день народж.чоколяду і привітав з самого раня:)так мило!всім би так любитись	1	0	0	0	0	0
це ж чудово черпати натхнення і вчитися у людей, які поруч! головне побачити в них це! і можливо не потрібні будуть книжки і семінари..	1	0	0	0	0	0
Я задоволений слон, бо тепер знаю основи декількох видів мейку.	1	0	0	0	0	0
У мене прекрасний настрій і нуднл  Дуже	1	0	0	0	0	0
Найкращий вечір, вечір з рідними.	1	0	0	0	0	0
якщо там твої перші твори і вірші то я з радістю почитала б;)	1	0	0	0	0	0
всі вітають і я привітаю!! традиційних щастяздоровля і від мене всяких найкращостей!)	1	0	0	0	0	0
Там до речі нещодавно дуже круте було	1	0	0	0	0	0
Ага, саме класне, що я на початку черги))	1	0	0	0	0	0
не сумуй, краще порадій, в нас тут все зашибісь   )))	1	0	0	0	0	0
А поки що, солодких снів	1	0	0	0	0	0
тепер мій фотік відкривається за допомогою скальпеля, а закривається за допомогою скотчу))	1	0	0	0	0	0
- гарний такий акваріум!!	1	0	0	0	0	0
як добре зараз ніжитись в ліжку, слухаючи дощик.	1	0	0	0	0	0
я навіть не знала.Взаємно вітаю!	1	0	0	0	0	1
Як добре, що в нашому кліматі після літа приходить справжня осінь	1	0	0	0	0	0
Думала,що всі перукарні забиті,але ні:) радію	1	0	0	0	0	0
100 років тому народився цей прекрасний мужчина.  з днем народження, олесю терентійовичу!	1	0	0	0	0	0
Я закохана в тебе з того дня, коли ми зустрілися.	1	0	0	0	0	0
Дивіться яке чудо в мене тепер живе^^	1	0	0	0	0	1
а ше тьотя в касі налякала,що на луганський нема квитків.вже розстроїлись,що поїдем пітерським і не почуєм ні мерви,ні тола.але все добже)	1	0	0	0	0	0
тут зараз просто прекрасне небо. казкове. виговорилась, йду спати.  добраніч, тві.	1	0	0	0	0	0
Насолоджуюсь  подушкою. . .ліжко, постіль. . .і тиша. . .круто	1	0	0	0	0	0
ще перед майданом ми якто бачились, років два тому, явсьопамнєтаю)	1	0	0	0	0	0
На роботі всім дуже вони сподобалися ;)	1	0	0	0	0	0
о боги, яка ж ти гарна *-*	1	0	0	0	0	0
Який в мене мужик красивий, слухайте.	1	0	0	0	0	0
опа, в мою честь вулиці називають. прикольно)	1	0	0	0	0	0
чому одразу сміятись - це дуже мило))	1	0	0	0	0	0
вітання з минулим святом ;)	1	0	0	0	0	0
На дворі так класна погода.,пахне осінню	1	0	0	0	0	0
Ой ну драстє, зараз ніби то всі це знають))))	1	0	0	0	0	0
без залицяльників було б нудно=)	1	0	0	0	0	0
Не пройшло й 2 міс на новій хаті, як я НАРЕШТІ попрала штори.	1	0	0	0	0	0
перед оперним...уявляю скіко народу туди припреться))	1	0	0	0	0	0
так о третій ночі виглядає щастя^^	1	0	0	0	0	0
ох молодець!! будеш фоткати у Києві?	1	0	0	0	0	0
RT :  Олю вітаю, чекаю запрошення на першу виставку	1	0	0	0	0	0
Починати ранок з пробіжки дуже весело	1	0	0	0	0	0
волочусь від тої темної вишивки Тернопільщини	1	0	0	0	0	0
Це дуже погано, але мене зараз тішить що не я одна по 12 засобів на тиждень на лице наношу, якщо хочу, щоб воно не відвалилося)	1	0	0	0	0	0
Овочевий супчик з куркою врятував мій ранок:)	1	0	0	0	0	0
В плейлисті купа нових пісень, оце і справді добрий ранок	1	0	0	0	0	0
крутий привіт, мені таких ще не передавали ))) дякую!	1	0	0	0	0	0
І ми вітаємо з таким важливим днем.	1	0	0	0	0	0
знайшла музику для офісу,яка всім підходить.як не дивно,це група Kurwa Matj)я великий фанат їхніх контрабандистських пісеньок.і не я одна)	1	0	0	0	0	0
думаю це хороша ідея залучити батьків до івентів =)	1	0	0	0	0	0
не повіриш, якраз купила в Польщі на 7 злотих )))	1	0	0	0	0	0
Дякую вам за вітання і за те, що ви є.	1	0	0	0	0	0
То дівчата сказали, шо я нєнакрвшеная страшная)) шо всі думають, шо я хворію)	1	0	0	1	0	0
Велике дякую,  ,за мій порятунок ^^ Єдина людина яка допомогла ^^ Ти прекрасна :**	1	0	0	0	0	0
коли реєструвалась в тві, думала, що й 40 підписників не буде. а тепер 700. це ж населення цілого мікротопоніму, карл!	1	0	0	0	0	1
знаєте, найбільшою своєю перемогою, цього періоду вважаю, подолання своєї гордості і збереження важливої для мене люди =)	1	0	0	0	0	0
Вітаю чарівну іменинницю і прекрасну людину з її Днем!	1	0	0	0	0	0
В нас тут такі аромати ммм...	1	0	0	0	0	0
Сходила з рідними на мульт "Лелеки" Аааа, то шедевр *-*	1	0	0	0	0	0
Найкрутіший мейк на хеллоуін, який я бачила	1	0	0	0	0	0
Я спочатку цього боялася, що будитиме вранці, але прокидатися і ніжитися в сонячних промінцях то кайф.	1	0	0	0	0	0
йой, мене священник на сповіді запитав...школярка я чи вже студентка)))	1	0	0	0	0	0
обговорюємо з Натою фізику і кабінет фізики :) там було все таке класне:)	1	0	0	0	0	0
ти до мене на ви? я поки що одна)	1	0	0	0	0	0
І все таки, твітер став для мене маленьким і затишним домом Дякую, що ви в мене є	1	0	0	0	0	0
нюхають маму з ременем в дитинстві?))	1	0	0	0	0	0
я аж скучила за старою роботою:))	1	0	0	0	0	0
Коханий зробив мені чай, погодував кицьку і пішов здавати аналізи.	1	0	0	0	0	0
По-моєму, слово "станція" якраз можна і не перекладати)	1	0	0	0	0	0
Дякую:)приємно!там можна писати свої теми і цитати!доєднуйся:)	1	0	0	0	0	0
ааааа, це печально, але ще не довго чекати лишилось)	1	0	0	0	0	0
ну добре, бо вже розхвилювалася :)	1	0	0	0	0	0
вже давненько і так, це круто)	1	0	0	0	0	0
а смачний який має бути!)	1	0	0	0	0	0
Колою мене таки вдавило, але це шикарно.	1	0	0	0	0	0
Ну чого, там паралельно з молитвою має бути жертвоприношення, а то досить весело	1	0	0	0	0	0
Знаєте, а зраночку так гарно	1	0	0	0	0	0
класно-класно)) мій графічний львів - це мої друзі!)) це все ви)	1	0	0	0	0	0
Читаю вранці мамський чатик і таки донечка народилася в подруги.	1	0	0	0	0	0
З Днем Незалежності, друзі!	1	0	0	0	0	0
Росіян бачила в костюмах моряків чорноморського флоту. )))	1	0	0	0	0	0
так я зацінила і мені сподобалася дата 900 ))) а чому б і ні?	1	0	0	0	0	0
це ж класно,коли мрії збуваються. . .:)	1	0	0	0	0	0
Підтримайте Алінку!!! її фоти і справді найкращі))	1	0	0	0	0	0
хочу у Львові спокійно засинати:)	1	0	0	0	0	0
Дякую-дякую за вітання!!які ви всі класні і хороші))	1	0	0	0	0	0
Ще трішки більше місяця і я побачу своїх коханих	1	0	0	0	0	0
це зробило мій вечір, дякую	1	0	0	0	0	0
своїх в обіду не дамо;)	1	0	0	0	0	0
А ще я таких страшних малювала =) це підготовка до вступу =)	1	0	0	0	0	0
Найсмачніша вечеря в Шевченківському гаю;)	1	0	0	0	0	0
малеча взяла гозєтку в руки. регоче. тицяє мені - на глянь на його заточку і заголовок прочитай. регочем двоє.	1	0	0	0	0	0
чесно? у мене цей рік був настільки прекрасний, що я не проти прожити його ще раз	1	0	0	0	0	0
він дивний. але від того ніскілечки не втрачає)	1	0	0	0	0	0
прикольно якщо я така гарна)) ще мені казали що я нагадую дівчину з кліпу ОЕ...чорнобілий якийсь	1	0	0	0	0	0
Приїхали до гуртожицької подруги,ех . . .як добре в гостях:)	1	0	0	0	0	0
дякую, старий) ти дійсно вмієш підтримати до смерті налякану людину ))	1	0	0	0	0	0
насправді дівчата пісяють кіпятком за хлопцями із західної україни прикриваючись львовом)	1	0	0	0	0	0
наступні 5 днів буду святкувати....)))	1	0	0	0	0	0
обожнюю сестру за те, що вона кидає мені мемчики.	1	0	0	0	0	0
А я вже в Житомирі Всім доброго раночку	1	0	0	0	0	0
якась хороша новина за день, спасибі	1	0	0	0	0	0
Та я само спокойствіє) мені чужих нервів жалко)	1	0	0	0	0	0
Це був просто неймовірний вечір.	1	0	0	0	0	0
Дивлюся відоси на старому телефоні і ржу	1	0	0	0	0	0
Прийшла до племінниці і діти розхвалили, які в мене круті татухі і тонелі	1	0	0	0	0	0
Мріяла виспатися в потязі, чи принаймні випити кави, але це виявилася електричка, дарма чекати стюартів:)	1	0	0	0	0	0
все є)) З Днем Народження, кицю	1	0	0	0	0	0
дуже все круто було, на кожну пісню окреме шоу.. на екрані графіка крута, танці  класні, стильно і продумано	1	0	0	0	0	0
Купила квиточок на  і поки це все хороше за сьогодні	1	0	0	0	0	0
це така чудєсна дисципліна. удачки:)	1	0	0	0	0	0
Добре, що холод я переношу набагато краще, ніж спеку.	1	0	0	0	0	0
Збс, коли є кому спонтанно зателефонувати (дякую,  )	1	0	0	0	0	0
о, а шо ви мені не казали, шо пан Тораска такий милий, коли читає чиїсь коментарі і задумується)	1	0	0	0	0	0
подруги признались, що досліджували ВК мого коханого... це так мило, що мене аж потішило=)	1	0	0	0	0	0
- Боже, який хороший хлопець.	1	0	0	0	0	0
З днем народження, котику :3 Щастя тобі  .	1	0	0	0	0	0
Людина, яка є для мене великим авторитетом і яку я боялась найбільше, подзвонила особисто сказати, шо я крутишка.	1	0	0	0	0	0
дожилася до того, що не можу повірити у своє щастя :))	1	0	0	0	0	0
Так) найкраща ніч цього літа	1	0	0	0	0	0
 круто! я напишу свій номер, обов"язково мені передзвони, або я тобі))	1	0	0	0	0	0
ноууу, душа звучить набагато ліпше) хочу бути душею	1	0	0	0	0	0
дякую хорошим твіплам     i  всім цьом!	1	0	0	0	0	0
хлопці з Київстара прийшли інтернет зробити. . .ЯКА я рада!	1	0	0	0	0	0
Такі всі гарні і милі, що аж не можу мовчати	1	0	0	0	0	0
давно тебе не бачила таким щасливим.	1	0	0	0	0	0
боюсь нищо з цього списку не пригодиться))	1	1	0	0	0	0
дякую вам дівча і хлопча)) я спатки!))	1	0	0	0	0	0
я, взагалі то, насмажила дерунів, зробила ввдро салату і чекаю гостей))	1	0	0	0	0	0
Арт двір - то дуже кльово!	1	0	0	0	0	0
Бажаю всім сьогодні шашлику і гарної погоди!	1	0	0	0	0	0
сьогодні буде крутий вечір, я надіюсь	1	0	0	0	0	0
Побачила по тєліку колегу-француза :D	1	0	0	0	0	0
nice photo & телефончик кльовий;)	1	0	0	0	0	0
Та ну,ціла купа =)RT :  тримайся, архітектори виміраючий від!!!! :)	1	0	0	0	0	0
Але з іншого боку радію, що двері закрились не «до шєлчка», могло б бути гірше.	1	0	0	0	0	0
Як тут у вас весело гг	1	0	0	0	0	0
нарешті я напишу у щоденник, що цей рік був дуже класний!	1	0	0	0	0	0
Тут цікаво, затишно і є кальвадос!	1	0	0	0	0	0
Іду і плачу від щастя.	1	0	0	0	0	0
А ми смакуємо Кумпелівське пиво і насолоджуємося теплим вечером.	1	0	0	0	0	0
, ти неймовірна, хай тобі буде стільки радості і посмішок, скільки я зараз маю:)	1	0	0	0	0	0
Так, вночі, бо шо мені втрачати))	1	0	0	0	0	0
рада що ти знайшов свій дім :))	1	0	0	0	0	0
і я тобі дякую ;) обнімашки всім	1	0	0	0	0	0
мої племінниці буде 2рочки, то справді класні часи :)	1	0	0	0	0	0
хлопці-консутанти в Практекерi втішились руденьким дівчатам, що купляли ламінат. . .поштучно))	1	0	0	0	0	0
З Днем космонавтики, а мене з днем факультету!	1	0	0	0	0	0
Дякую пацанам з гуртожитку, за те що було так весело в душі	1	0	0	0	0	0
От а я за свою випадкову фотосесію не шкодую, хоча теж скептично відносилась спершу	1	0	0	0	0	0
Так що дуже тобі дякую!	1	0	0	0	0	0
і я вітаю! по 2-3 людини на місце- ти молодець!	1	0	0	0	0	0
доброго ранку, любі <3 усмішки і смачного сніданку. залишайтеся позитивними ^^	1	0	0	0	0	0
Є люди, що фізично молодші за мене, але к оли спілкуємося, то дитиною відчуваю себе я  Чесно кажучи.. то шикарно	1	0	0	0	0	0
а в Дубні немає сонечка, але дуже приємний день:)	1	0	0	0	0	0
джигар вперше дивиться гаррі поттера. не відриває очей від монітора. така милота спостерігати.	1	0	0	0	0	0
я коли іду на пляж, то всі комплекси приглушуються, хоч я і дрищ)	1	0	0	0	0	0
А знаєш, все таки це добре.	1	0	0	0	0	0
нові капці такі круті!!!! дякую	1	0	0	0	0	0
щастя мати розумну і вродливу жінку,але біда мати таке щастя ))	1	0	0	0	0	0
хм, моя миша страшніша була)	1	0	0	0	0	0
RT :  Забавка: знайди сову :)	1	0	0	0	0	0
Не знаю, як вам, а мені подобається	1	0	0	0	0	0
ого, ну прикольно. та я і так і так робити буду. просто цікаво стало)	1	0	0	0	0	1
так, будуть хрумкі кабачки зі смаком аличі))	1	0	0	0	0	0
маленька, ти повернулася? хай там як, а я рада)	1	0	0	0	0	0
Так прекрасно на вулиці, ше й ніч.	1	0	0	0	0	0
починаю усвідомлювати, як прекрасно мати ентузіазм щось робити, бо бажання - це найважливіше.  бажання спричиняє дії.	1	0	0	0	0	0
Сьогодні буде перша ніч з нашим котом!	1	0	0	0	0	0
ааааааааа, кайф! цього не бачила	1	0	0	0	0	0
дужедужедужедуже мімімішний фільм) Наталочка розчулена^^	1	0	0	0	0	0
фітс і джемма - то любоу :з  але циско і кейтлін мені як брат і сестра  завжди шипперила циско з сестрою холода)	1	0	0	0	0	0
Мені ше вас на свадьбу звать)))	1	0	0	0	0	0
шо сьогодні цікавого в -журналі?:)	1	0	0	0	0	0
супер, дякую вам за швидку реакцію.	1	0	0	0	0	0
а білі це хороші друзі:)	1	0	0	0	0	0
подякуєм моїм ~ 20 парам джинсів і тому, шо я довго вагалась, які вдягти до сірої футболки)))	1	0	0	0	0	0
Мама завжди боїться, що в мене у поїзді вкрадуть взуття.	0	1	0	0	0	0
Я шось одиничок стрьомаюсь) думаю, шо ноги вкорочують, нє?	0	1	0	0	0	0
Ти приїхала у Кременець?)) я почала хвилюватися;)	0	1	0	0	0	0
боюсь читати "отверженние" щоб не дай бог не накатіло якоюсь романтичною хвилею любові до революції (і політики)	0	1	0	0	0	0
Мене очень сильно турбує шо тут за двіж-паріж	0	1	0	0	0	0
Мене лякає не те, що мені 20, а те, що 15 мені було цілих 5 років назад.	0	1	0	0	0	0
наша кицька така розумна, шо я вже починаю її боятися	0	1	0	0	0	0
Трошкі, вона зараз робить вигляд, шо нічьо не сталось і мені від того страшніше	0	1	0	0	0	0
